"location","year","season","tmax_avg"
"washingtondc",2010,"Spring",207.483516483516
"washingtondc",2010,"Summer",318.786516853933
"washingtondc",2010,"Fall",225.238095238095
"washingtondc",2011,"Winter",62.3604651162791
"washingtondc",2011,"Spring",204.766666666667
"washingtondc",2011,"Summer",329.131868131868
"washingtondc",2011,"Fall",219.277108433735
"washingtondc",2012,"Winter",110.238636363636
"washingtondc",2012,"Spring",226.588888888889
"washingtondc",2012,"Summer",317.348314606742
"washingtondc",2012,"Fall",206.477272727273
"washingtondc",2013,"Winter",86.1222222222222
"washingtondc",2013,"Spring",190.482352941176
"washingtondc",2013,"Summer",303.522222222222
"washingtondc",2013,"Fall",205.89010989011
"washingtondc",2014,"Winter",68.2179487179487
"washingtondc",2014,"Spring",187.7
"washingtondc",2014,"Summer",303.869565217391
"washingtondc",2014,"Fall",207.444444444444
"washingtondc",2015,"Winter",64.8863636363636
"washingtondc",2015,"Spring",195.449438202247
"washingtondc",2015,"Summer",306.404494382022
"washingtondc",2015,"Fall",224.010989010989
"washingtondc",2016,"Winter",103.640449438202
"washingtondc",2016,"Spring",197.739130434783
"washingtondc",2016,"Summer",318.902173913043
"washingtondc",2016,"Fall",226.233333333333
"washingtondc",2017,"Winter",106.168539325843
"washingtondc",2017,"Spring",196.692307692308
"washingtondc",2017,"Summer",307.141304347826
"washingtondc",2017,"Fall",213.842696629213
"washingtondc",2018,"Winter",85.4883720930233
"washingtondc",2018,"Spring",188.310344827586
"washingtondc",2018,"Summer",308.04347826087
"washingtondc",2018,"Fall",201.363636363636
"washingtondc",2019,"Winter",87.8295454545455
"washingtondc",2019,"Spring",198.534090909091
"washingtondc",2019,"Summer",317.04347826087
"washingtondc",2019,"Fall",214.197802197802
"washingtondc",2020,"Winter",102.988636363636
"washingtondc",2020,"Spring",187
"washingtondc",2020,"Summer",318.232558139535
"washingtondc",2020,"Fall",213.325301204819
"washingtondc",2021,"Winter",75.6395348837209
"washingtondc",2021,"Spring",200.103448275862
"washingtondc",2021,"Summer",315.380434782609
"washingtondc",2021,"Fall",214.356164383562
"liestal",1953,"Fall",152.802197802198
"liestal",1954,"Winter",34.9555555555556
"liestal",1954,"Spring",149.771739130435
"liestal",1954,"Summer",225.478260869565
"liestal",1954,"Fall",157.494505494505
"liestal",1955,"Winter",54.2222222222222
"liestal",1955,"Spring",148.54347826087
"liestal",1955,"Summer",238.054347826087
"liestal",1955,"Fall",140.131868131868
"liestal",1956,"Winter",35.4285714285714
"liestal",1956,"Spring",152.20652173913
"liestal",1956,"Summer",221.304347826087
"liestal",1956,"Fall",138.549450549451
"liestal",1957,"Winter",54.3
"liestal",1957,"Spring",160.554347826087
"liestal",1957,"Summer",239.163043478261
"liestal",1957,"Fall",145.835164835165
"liestal",1958,"Winter",56.4333333333333
"liestal",1958,"Spring",141.217391304348
"liestal",1958,"Summer",242.347826086957
"liestal",1958,"Fall",144.582417582418
"liestal",1959,"Winter",62.2444444444444
"liestal",1959,"Spring",172.728260869565
"liestal",1959,"Summer",254.228260869565
"liestal",1959,"Fall",153.417582417582
"liestal",1960,"Winter",54.6043956043956
"liestal",1960,"Spring",163.391304347826
"liestal",1960,"Summer",231.434782608696
"liestal",1960,"Fall",145.395604395604
"liestal",1961,"Winter",60.6333333333333
"liestal",1961,"Spring",169.54347826087
"liestal",1961,"Summer",240.891304347826
"liestal",1961,"Fall",168.186813186813
"liestal",1962,"Winter",53.8444444444444
"liestal",1962,"Spring",134.282608695652
"liestal",1962,"Summer",247.108695652174
"liestal",1962,"Fall",142.021978021978
"liestal",1963,"Winter",-3.88888888888889
"liestal",1963,"Spring",145.130434782609
"liestal",1963,"Summer",234.565217391304
"liestal",1963,"Fall",159.89010989011
"liestal",1964,"Winter",28.3076923076923
"liestal",1964,"Spring",151.804347826087
"liestal",1964,"Summer",259.532608695652
"liestal",1964,"Fall",145.32967032967
"liestal",1965,"Winter",32.6444444444444
"liestal",1965,"Spring",137.119565217391
"liestal",1965,"Summer",228.630434782609
"liestal",1965,"Fall",133.934065934066
"liestal",1966,"Winter",63.7555555555556
"liestal",1966,"Spring",156.858695652174
"liestal",1966,"Summer",228.478260869565
"liestal",1966,"Fall",151.78021978022
"liestal",1967,"Winter",63.7222222222222
"liestal",1967,"Spring",154.152173913043
"liestal",1967,"Summer",246.336956521739
"liestal",1967,"Fall",157.571428571429
"liestal",1968,"Winter",40.1538461538462
"liestal",1968,"Spring",154.847826086957
"liestal",1968,"Summer",232.489130434783
"liestal",1968,"Fall",145.868131868132
"liestal",1969,"Winter",33.3333333333333
"liestal",1969,"Spring",145.663043478261
"liestal",1969,"Summer",232.597826086957
"liestal",1969,"Fall",162.307692307692
"liestal",1970,"Winter",27.1777777777778
"liestal",1970,"Spring",124.25
"liestal",1970,"Summer",242.891304347826
"liestal",1970,"Fall",157.153846153846
"liestal",1971,"Winter",35.3444444444444
"liestal",1971,"Spring",157.173913043478
"liestal",1971,"Summer",244.184782608696
"liestal",1971,"Fall",149.593406593407
"liestal",1972,"Winter",51.1428571428571
"liestal",1972,"Spring",148.065217391304
"liestal",1972,"Summer",229.141304347826
"liestal",1972,"Fall",138.450549450549
"liestal",1973,"Winter",32.9333333333333
"liestal",1973,"Spring",142
"liestal",1973,"Summer",243.728260869565
"liestal",1973,"Fall",146.384615384615
"liestal",1974,"Winter",60.8888888888889
"liestal",1974,"Spring",154.445652173913
"liestal",1974,"Summer",235.510869565217
"liestal",1974,"Fall",123.428571428571
"liestal",1975,"Winter",77.4555555555555
"liestal",1975,"Spring",138.619565217391
"liestal",1975,"Summer",235.739130434783
"liestal",1975,"Fall",144.67032967033
"liestal",1976,"Winter",46.7912087912088
"liestal",1976,"Spring",155.782608695652
"liestal",1976,"Summer",255.684782608696
"liestal",1976,"Fall",144.043956043956
"liestal",1977,"Winter",49.6333333333333
"liestal",1977,"Spring",148.858695652174
"liestal",1977,"Summer",230.065217391304
"liestal",1977,"Fall",150.769230769231
"liestal",1978,"Winter",43.0222222222222
"liestal",1978,"Spring",139.967391304348
"liestal",1978,"Summer",226.695652173913
"liestal",1978,"Fall",139.296703296703
"liestal",1979,"Winter",40.9555555555556
"liestal",1979,"Spring",144.271739130435
"liestal",1979,"Summer",233.521739130435
"liestal",1979,"Fall",148.582417582418
"liestal",1980,"Winter",64.3956043956044
"liestal",1980,"Spring",136.630434782609
"liestal",1980,"Summer",220.119565217391
"liestal",1980,"Fall",141.846153846154
"liestal",1981,"Winter",30.7222222222222
"liestal",1981,"Spring",163.608695652174
"liestal",1981,"Summer",235.369565217391
"liestal",1981,"Fall",146.857142857143
"liestal",1982,"Winter",46.5888888888889
"liestal",1982,"Spring",151.79347826087
"liestal",1982,"Summer",247.184782608696
"liestal",1982,"Fall",160.197802197802
"liestal",1983,"Winter",59.0222222222222
"liestal",1983,"Spring",146.032608695652
"liestal",1983,"Summer",271.423913043478
"liestal",1983,"Fall",150.835164835165
"liestal",1984,"Winter",49.7142857142857
"liestal",1984,"Spring",133.782608695652
"liestal",1984,"Summer",245.141304347826
"liestal",1984,"Fall",152.791208791209
"liestal",1985,"Winter",30.1666666666667
"liestal",1985,"Spring",144.684782608696
"liestal",1985,"Summer",248.315217391304
"liestal",1985,"Fall",152.505494505495
"liestal",1986,"Winter",41.0666666666667
"liestal",1986,"Spring",143.717391304348
"liestal",1986,"Summer",249.945652173913
"liestal",1986,"Fall",164.56043956044
"liestal",1987,"Winter",33.2444444444444
"liestal",1987,"Spring",138.95652173913
"liestal",1987,"Summer",233.652173913043
"liestal",1987,"Fall",159.89010989011
"liestal",1988,"Winter",69.967032967033
"liestal",1988,"Spring",151.847826086957
"liestal",1988,"Summer",246.79347826087
"liestal",1988,"Fall",147.285714285714
"liestal",1989,"Winter",65.5777777777778
"liestal",1989,"Spring",169.434782608696
"liestal",1989,"Summer",248.815217391304
"liestal",1989,"Fall",153.274725274725
"liestal",1990,"Winter",82.7777777777778
"liestal",1990,"Spring",169.184782608696
"liestal",1990,"Summer",251.315217391304
"liestal",1990,"Fall",154.571428571429
"liestal",1991,"Winter",44.6
"liestal",1991,"Spring",150.021739130435
"liestal",1991,"Summer",257.184782608696
"liestal",1991,"Fall",152.153846153846
"liestal",1992,"Winter",49.1868131868132
"liestal",1992,"Spring",166.684782608696
"liestal",1992,"Summer",258.695652173913
"liestal",1992,"Fall",146.681318681319
"liestal",1993,"Winter",57.3444444444444
"liestal",1993,"Spring",169.141304347826
"liestal",1993,"Summer",242.652173913043
"liestal",1993,"Fall",121.967032967033
"liestal",1994,"Winter",76.2222222222222
"liestal",1994,"Spring",160.434782608696
